,id,title,no_of_views,no_of_comments,no_of_likes
0,w8PmrLG6v5I,"BOLLYWOOD BLOCKBUSTER HINDI MOVIE - राजेश खन्ना ,शबाना आजमी और सचिन की सुपरहिट हिंदी मूवी - AVTAAR",8595615,1377,61061
1,PLtgIILX7E8,AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie),29209843,913,148703
2,6sjQGHq10Qo,"Avatharam Telugu Full Length Movie | Kutty Radhika, Rishi |",220802,29,1956
3,51he5bnt07Q,Avtaar [1983] [HD] Rajesh Kahnna | Shabana Azmi | AK Hangal | Gulshan Grover | Best Hindi Movie,23453170,4874,138365
4,d9MyW72ELq0,Avatar: The Way of Water | Official Trailer,57486646,43349,1043478
5,V_KfanT2fkU,Avatar 2 Way of Water Malayalam Movie Explain | Part -1 Cinima Lokam..,75500,30,1158
6,6pHZmBin4Xc,Toruk Macto - AVATAR (4k Movie Clip),1692105,388,14215
7,Ehf6iESkLMk,Avatar 2: The Way Of Water - All Clips From The Movie (2022),1794966,126,9302
8,q2QleUlhMQw,Avatar Full movie Hindi dubbed Hollywood #new avatar movie/Hindi dubbed action movie/Hollywood new,601,0,0
9,S4X0wi8oHPE,"राजेश खन्ना की सुपरहिट मूवी - अवतार (1983) - शबाना आजमी, गुलशन ग्रोवर, प्रीति सप्रू, सचिन - Full HD",88632,12,616
10,mdhEj_rG80Y,AVATAR - Movie Behind the Scenes | Making of,1553883,91,5194
11,utN1jTz2jAs,Avtaar [1983] | 15 Min Movie | Rajesh Kahnna | Shabana Azmi | AK Hangal | Gulshan Grover,735672,51,3057
12,n76KALvTN3Q,Avatar: The Way of Water (2022) - Lo'ak Rush to Save Payakan,1238037,43,3627
13,T4OPEBWYJng,Avatar Movie Final Battle scene in Hindi,3291828,407,26426
14,ZM2k1UmcCXg,"AVATAR Clip - ""Ikran"" (2009)",28293702,2200,162923
15,CyUXe8xAx9U,Did you spot this in AVATAR: THE WAY OF WATER,180790,242,20094
16,UO_aA5v3Qgg,Avatar 1 Movie Explained in Kannada || Dubbed in Kannada Movie Review Explained Stories in Kannada |,126179,62,2671
17,LmFwxc86Fuc,🤯அவதார் உருவானது இப்படிதானா!😱 | Avatar Movie behind The Scene | Avatar Facts | Avatar 2 Way Of Water,324086,5,24261
18,yRR1K9dmhxw,"Behind the scenes of Avatar, Zoe Saldana and Sam Worthington  #avatar #samworthington #zoesaldana",5761859,938,244938
19,noVddIRzn3o,Sander VS Avatar Jake Sully #sandervs #satisfying #avatar,135861801,3091,1079650
20,w3wW4slmOhc,🤯அவதார் 2 உருவானது இப்படிதானா!😱 Avatar Movie behind The Scene | Avatar Facts | Avatar 2 Way Of Water,90613,4,9578
21,0sJeBiUCIt4,AVATAR Clip - Final Battle (2009) James Cameron,31889198,3665,190363
22,WDFr1O_GeAQ,Avatar (2009) - Best Scenes,2250211,627,17577
23,a8Gx8wiNbs8,Avatar: The Way of Water | Official Teaser Trailer,27568846,29184,683233
24,hM1zI8H7Tc8,राजेश खन्ना ने लड़ी जिंदगीऔरआत्म-सम्मान की जंग | Popular Hindi Movie | Full HD | 80s Bollywood Hits,5708735,670,35323
25,3G6J-ITWekA,Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip),5194477,654,22461
26,x0MwXUNhXKc,"AVATAR 2 - New Trailer, Movies 2022 / 4K Ultra HD",34848920,3675,209345
27,i12SONAAuqk,AVATAR 2: The Way of Water 2023 Full Movie All Action Scenes Best Hollywood Movie In The World [4k],196648,11,795
28,9N0n1BJgwKs,KENAPA FILM AVATAR THE LAST AIRBENDER FILM SAMPAH???,431182,812,25092
29,iLmYtr5Db4w,Avatar 2 Full Movie - Hollywood Full Movie 2023 - Full Movies in English 𝐅𝐮𝐥𝐥 𝐇𝐃 1080,407866,34,1340
30,wlzni7Lcgtg,"लेटेस्ट नई रिलीज़ मूवी ""Rudra Avatar"" | Prabhudeva की सबसे बड़ी ब्लॉकबस्टर एक्शन थ्रिलर मूवी हिंदी में",9024428,828,81687
31,u3_Uhq6qxhU,AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer,443980,669,3801
32,XmxLG1HBNTk,AVATAR Full Movie 2023: Galactic Empire | Superhero FXL Action Movies 2023 in English (Game Movie),1383370,41,4869
33,-YL29aJyry8,ඇවටාර්  Movie එකට ගහන්න මේ ලෝකයේ තවත් Movie එකක් නෑ | explained in Sinhala | movie review sinhala,133321,178,5703
34,IX7NZDXHfAM,Avatar: Dragon scene [Telugu scene][Classic Scenes],685998,30,6106
35,Mw192fc8LsQ,Lo'ak & Tsireya - The Way of Water,4418664,237,22783
36,E0lN5RIxYGQ,നിങ്ങൾക്ക് അറിയാമോ? An Actor Turned Down Avatar & 2000 Crores Who Is he? #avatar2 #avatar #movie,1232236,554,120445
37,kA3j-NUxQBY,This Indian Actor Rejected Avatar movie in 2009 😱 #shorts #marvel #avatar,20438,18,1697
38,Zy3l3Opr5l0,The Truth about Kiri in AVATAR: THE WAY OF WATER,469685,313,41792
39,U7cVZD0idBw,The Avatar wins a war with a Tsunami | The Last Airbender | CLIP,1950957,583,15591
40,tw01WpmLbS8,Avatar 2: the Way of Water movie REVIEW,789680,1420,57278
41,mCBuaFbjW8k,Avatar 3 Fire Navi Clan Leader Revealed,1274681,114,110037
42,jGWDkJ5zB7M,avatar breathtaking acting #shorts#avatar #actor #cinema  #movie,5673001,555,253404
43,R6fnbPPokxE,new EARTH AVATAR is coming ⛰️,328801,721,26392
44,vP67C8jQhLs,Avatar Movie Review/Plot In Hindi & Urdu / Story Of Different Planet,2788317,1471,75401
45,MgV9vymLIdQ,The Last Airbender is the Worst Film Ever Made — HERE'S WHY,5832602,14256,111557
46,3b7sKh_QIbQ,Avatar: The Last of the Airbenders - Part One | Fan Film | JNJ Studios,2908912,738,27991
47,xMZy72SVmwI,Avatar: The Way of Water (2022) - Metkayina's Lifelong Bond with Tulkuns,362250,47,2657
48,OHytHaN-UUA,AVATAR is a STOLEN MOVIE?,2079359,1040,141435
49,nxjOFZqtLJc,AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+,1411007,512,17843
